Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS02 - Login, Invite Member",Chrome 92.0.4515.159,,,2021-08-27 07:09:09,2021-08-27 07:10:00,51.122s,PASSED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-27 07:09:10,2021-08-27 07:09:34,24.787s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 07:09:10,2021-08-27 07:09:14,3.334s,PASSED
"navigateToUrl(""https://renterdashboard.winston.cerberuslink.net/login"")",Chrome 92.0.4515.159,,,2021-08-27 07:09:14,2021-08-27 07:09:18,4.094s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), ""jerrold+imusgrove32@onerent.co"")",Chrome 92.0.4515.159,,,2021-08-27 07:09:18,2021-08-27 07:09:19,1.544s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-27 07:09:19,2021-08-27 07:09:20,0.583s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-27 07:09:20,2021-08-27 07:09:20,0.456s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 07:09:20,2021-08-27 07:09:31,10.068s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 07:09:31,2021-08-27 07:09:34,3.922s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC02 - Invite Member,Chrome 92.0.4515.159,,,2021-08-27 07:09:34,2021-08-27 07:10:00,25.831s,PASSED
"click(findTestObject(""Actions_InviteMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-27 07:09:35,2021-08-27 07:09:36,0.477s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-27 07:09:36,2021-08-27 07:09:36,0.573s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_InviteMember""))",Chrome 92.0.4515.159,,,2021-08-27 07:09:36,2021-08-27 07:09:37,0.494s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-27 07:09:37,2021-08-27 07:09:42,5.004s,PASSED
"setText(findTestObject(""Actions_InviteMember/Page_Poplar Homes/input_email""), ""winston@poplarhomes.com"")",Chrome 92.0.4515.159,,,2021-08-27 07:09:42,2021-08-27 07:09:43,0.848s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-27 07:09:43,2021-08-27 07:09:48,5.008s,PASSED
"if (verifyElementClickable(findTestObject(""Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""), CONTINUE_ON_FAILURE))",Chrome 92.0.4515.159,,,2021-08-27 07:09:48,2021-08-27 07:09:48,0.882s,PASSED
"click(findTestObject(""Object Repository/Actions_InviteMember/Page_Poplar Homes/button_Send Invitation""))",Chrome 92.0.4515.159,,,2021-08-27 07:09:48,2021-08-27 07:09:49,0.570s,PASSED
"if (waitForElementVisible(findTestObject(""Actions_InviteMember/Page_Poplar Homes/divToast_Successful""), 5))",Chrome 92.0.4515.159,,,2021-08-27 07:09:49,2021-08-27 07:09:55,6.282s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-27 07:09:55,2021-08-27 07:10:00,5.017s,PASSED
