Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS01 - Login, Add Member",Chrome 92.0.4515.159,,,2021-08-27 14:00:07,2021-08-27 14:01:16,1m - 9.624s,PASSED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-27 14:00:07,2021-08-27 14:00:32,24.258s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-27 14:00:08,2021-08-27 14:00:12,3.697s,PASSED
navigateToUrl(staging_url_jam_instance),Chrome 92.0.4515.159,,,2021-08-27 14:00:12,2021-08-27 14:00:17,5.509s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), Email_Jerrold2)",Chrome 92.0.4515.159,,,2021-08-27 14:00:18,2021-08-27 14:00:19,1.664s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-27 14:00:19,2021-08-27 14:00:20,0.575s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-27 14:00:20,2021-08-27 14:00:20,0.500s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 14:00:20,2021-08-27 14:00:30,10.095s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-27 14:00:30,2021-08-27 14:00:32,1.293s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC04 - Add Member,Chrome 92.0.4515.159,,,2021-08-27 14:00:32,2021-08-27 14:01:16,44.819s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-27 14:00:32,2021-08-27 14:00:33,0.464s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-27 14:00:33,2021-08-27 14:00:33,0.557s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/button_Add a Member""))",Chrome 92.0.4515.159,,,2021-08-27 14:00:33,2021-08-27 14:00:34,0.540s,PASSED
"setText(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/input__firstName""), ""Bea"")",Chrome 92.0.4515.159,,,2021-08-27 14:00:34,2021-08-27 14:00:35,0.911s,PASSED
"setText(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/input__lastName""), ""Alonzo"")",Chrome 92.0.4515.159,,,2021-08-27 14:00:35,2021-08-27 14:00:36,0.905s,PASSED
"setText(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/input__email_1""), ""beaalonzoyum@gmail.com"")",Chrome 92.0.4515.159,,,2021-08-27 14:00:36,2021-08-27 14:00:37,0.889s,PASSED
"setText(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/input__phone""), ""1 (231) 231-2312"")",Chrome 92.0.4515.159,,,2021-08-27 14:00:37,2021-08-27 14:00:38,0.943s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/select_MonthJanuaryFebruaryMarchAprilMayJun_aa9ebb""), ""June"", true)",Chrome 92.0.4515.159,,,2021-08-27 14:00:38,2021-08-27 14:00:39,1.463s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/select_Day123456789101112131415161718192021_71ec95""), ""15"", true)",Chrome 92.0.4515.159,,,2021-08-27 14:00:39,2021-08-27 14:00:41,1.742s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/select_Year20212020201920182017201620152014_f874ed""), ""1967"", true)",Chrome 92.0.4515.159,,,2021-08-27 14:00:41,2021-08-27 14:00:45,3.824s,PASSED
"setText(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/input__fullAddress""), ""32"")",Chrome 92.0.4515.159,,,2021-08-27 14:00:45,2021-08-27 14:00:45,0.763s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-27 14:00:45,2021-08-27 14:00:50,5.004s,PASSED
"click(findTestObject(""Object Repository/Actions_AddMember/Page_Poplar Homes/p_300 Vesey Street, New York, NY, USA""))",Chrome 92.0.4515.159,,,2021-08-27 14:00:50,2021-08-27 14:00:51,0.416s,PASSED
