Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"TS03 - Login, Add Cosigner",Chrome 92.0.4515.159,,,2021-08-31 08:21:06,2021-08-31 08:22:24,1m - 17.913s,PASSED
,,,,,,,
Test Cases/Login/login_renterdash,Chrome 92.0.4515.159,,,2021-08-31 08:21:07,2021-08-31 08:21:45,38.671s,PASSED
"openBrowser("""")",Chrome 92.0.4515.159,,,2021-08-31 08:21:09,2021-08-31 08:21:13,4.457s,PASSED
navigateToUrl(URL),Chrome 92.0.4515.159,,,2021-08-31 08:21:13,2021-08-31 08:21:18,5.149s,PASSED
"setText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__email""), Email_Jerrold2)",Chrome 92.0.4515.159,,,2021-08-31 08:21:18,2021-08-31 08:21:28,10.098s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/input__password""), ""pK4N7w/gtfGay7FzPRwAOg=="")",Chrome 92.0.4515.159,,,2021-08-31 08:21:28,2021-08-31 08:21:29,0.541s,PASSED
"click(findTestObject(""Object Repository/Login_TestObjects/Page_Poplar Homes/button_Log in""))",Chrome 92.0.4515.159,,,2021-08-31 08:21:29,2021-08-31 08:21:29,0.481s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-31 08:21:29,2021-08-31 08:21:40,10.092s,PASSED
"waitForElementVisible(findTestObject(""Login_TestObjects/Page_Poplar Homes/div_General DetailsCompleted""), 10, STOP_ON_FAILURE)",Chrome 92.0.4515.159,,,2021-08-31 08:21:40,2021-08-31 08:21:45,5.787s,PASSED
,,,,,,,
Test Cases/Profile_Tab/Group_Details/Actions/TC03 - Add Co-signer,Chrome 92.0.4515.159,,,2021-08-31 08:21:45,2021-08-31 08:22:24,38.385s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/div_Group DetailsCompleted""))",Chrome 92.0.4515.159,,,2021-08-31 08:21:46,2021-08-31 08:21:46,0.474s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/button_Actions""))",Chrome 92.0.4515.159,,,2021-08-31 08:21:46,2021-08-31 08:21:57,10.537s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/button_Add Co-signer""))",Chrome 92.0.4515.159,,,2021-08-31 08:21:57,2021-08-31 08:21:57,0.502s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__firstName""), ""Katy Perry"")",Chrome 92.0.4515.159,,,2021-08-31 08:21:57,2021-08-31 08:21:58,0.973s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__lastName""), ""Hilary"")",Chrome 92.0.4515.159,,,2021-08-31 08:21:58,2021-08-31 08:21:59,0.788s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__email_1""), ""katyperryhilary@gmail.com"")",Chrome 92.0.4515.159,,,2021-08-31 08:21:59,2021-08-31 08:22:00,0.888s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__phone""), ""1 (231) 231-2312"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:00,2021-08-31 08:22:01,0.942s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/select_MonthJanuaryFebruaryMarchAprilMayJun_aa9ebb""), ""March"", true)",Chrome 92.0.4515.159,,,2021-08-31 08:22:01,2021-08-31 08:22:02,1.414s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/select_Day123456789101112131415161718192021_40ab5b""), ""9"", true)",Chrome 92.0.4515.159,,,2021-08-31 08:22:02,2021-08-31 08:22:04,1.685s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/select_Year20212020201920182017201620152014_f874ed""), ""1990"", true)",Chrome 92.0.4515.159,,,2021-08-31 08:22:04,2021-08-31 08:22:08,3.698s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__fullAddress""), ""9"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:08,2021-08-31 08:22:09,0.749s,PASSED
delay(5),Chrome 92.0.4515.159,,,2021-08-31 08:22:09,2021-08-31 08:22:14,5.006s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/p_95 Wall Street, New York, NY, USA""))",Chrome 92.0.4515.159,,,2021-08-31 08:22:14,2021-08-31 08:22:14,0.412s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__unitNumber""), ""123"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:14,2021-08-31 08:22:15,0.974s,PASSED
"click(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/button_Contractor  Freelancer""))",Chrome 92.0.4515.159,,,2021-08-31 08:22:15,2021-08-31 08:22:16,0.542s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__employer""), ""Starbucks"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:16,2021-08-31 08:22:16,0.787s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__employmentStatement""), ""Senior Barista"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:16,2021-08-31 08:22:17,0.813s,PASSED
"setText(findTestObject(""Object Repository/Actions_Addcosigner/Page_addcosigner/input__declaredMonthlyIncome""), ""1000"")",Chrome 92.0.4515.159,,,2021-08-31 08:22:17,2021-08-31 08:22:18,0.772s,PASSED
